model_name,symbol,timeframe,target,variant_id,seq_len,n_features,features_csv
LSTM_4h_short_V3,BTCUSDT,4h,short,3,32,2,macd|rsi_14
LSTM_4h_short_V4,BTCUSDT,4h,short,4,32,4,macd|bb_upper|bb_middle|bb_lower
LSTM_4h_short_V5,BTCUSDT,4h,short,5,32,3,macd|ema_20|rsi_14
LSTM_4h_short_V6,BTCUSDT,4h,short,6,32,5,macd|ema_20|bb_upper|bb_middle|bb_lower
LSTM_4h_short_V7,BTCUSDT,4h,short,7,32,3,macd|supertrend|ema_20
LSTM_4h_short_V8,BTCUSDT,4h,short,8,32,3,macd|supertrend|rsi_14
LSTM_4h_short_V9,BTCUSDT,4h,short,9,32,4,macd|supertrend|ema_20|rsi_14
LSTM_4h_short_V10,BTCUSDT,4h,short,10,32,7,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower
LSTM_4h_short_V11,BTCUSDT,4h,short,11,32,8,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14
LSTM_4h_short_V12,BTCUSDT,4h,short,12,32,9,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv
LSTM_4h_short_V13,BTCUSDT,4h,short,13,32,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed
LSTM_4h_short_V14,BTCUSDT,4h,short,14,32,20,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2
LSTM_4h_short_V15,BTCUSDT,4h,short,15,32,36,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below
LSTM_15m_long_VV1,BTCUSDT,15m,long,V1,32,2,macd|stc
