symbol,tf,model,variant_k,side,entry_time_ms,entry_time,entry_price,exit_time_ms,exit_time,exit_reason,pnl_pct,mae_pct,time_to_close_min,win
ADAUSDT,15m,PPO,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,PPO,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
ADAUSDT,15m,QLearning,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,QLearning,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
ADAUSDT,15m,Transformer,5,long,1727712899999,2024-09-30 16:14,0.3803,1727737139999,2024-09-30 22:58,SL,-1.0,-1.13069,404,False
ADAUSDT,15m,Transformer,5,short,1727766899999,2024-10-01 07:14,0.3841,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.46644,387,True
ADAUSDT,15m,CNN,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,CNN,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,LSTM,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,LSTM,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,DQN,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,DQN,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,PPO,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,PPO,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,QLearning,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,QLearning,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,Transformer,6,long,1727741699999,2024-10-01 00:14,0.3737,1727766359999,2024-10-01 07:05,TP3,1.65,-0.7225,411,True
ADAUSDT,15m,Transformer,6,short,1727769599999,2024-10-01 07:59,0.3838,1727790119999,2024-10-01 13:41,TP3,1.68325,-0.54418,342,True
ADAUSDT,15m,CNN,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
ADAUSDT,15m,CNN,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,LSTM,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
ADAUSDT,15m,LSTM,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,DQN,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
ADAUSDT,15m,DQN,7,short,1727842499999,2024-10-02 04:14,0.3593,1727851079999,2024-10-02 06:37,SL,0.50505,-0.08343,143,True
ADAUSDT,15m,PPO,7,long,1727806499999,2024-10-01 18:14,0.3588,1727808599999,2024-10-01 18:49,SL,-1.0,-1.08696,35,False
