model,timeframe,target,variant,features,seq_len,prob_threshold,trades,wins,losses,winrate_%,final_deposit,status
DQN_1d_short_V13.pt,1d,short,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,16,0,16,0.0,90.82,✅ ok
DQN_1d_short_V14.pt,1d,short,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,33,0,33,0.0,81.99,✅ ok
DQN_1d_short_V15.pt,1d,short,15,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|stc|mfi_14|obv|cci_20|mom_10|roc_14|zscore_20|sar|pivot|r1|s1|r2|s2|ha_open|ha_close|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_up_angle_deg|trend_up_distance|trend_up_break_above|trend_up_break_below|trend_down_valid|trend_down_slope|trend_down_confirmed|trend_down_angle_deg|trend_down_distance|trend_down_break_above|trend_down_break_below,32,0.6,26,0,26,0.0,85.52,✅ ok
DQN_1d_short_V2.pt,1d,short,2,macd|ema_20,32,0.6,11,0,11,0.0,93.59,✅ ok
DQN_1d_short_V3.pt,1d,short,3,macd|rsi_14,32,0.6,46,0,46,0.0,75.82,✅ ok
DQN_1d_short_V4.pt,1d,short,4,macd|bb_upper|bb_middle|bb_lower,32,0.6,27,0,27,0.0,85.0,✅ ok
DQN_1d_short_V5.pt,1d,short,5,macd|ema_20|rsi_14,32,0.6,38,0,38,0.0,79.56,✅ ok
DQN_1d_short_V6.pt,1d,short,6,macd|ema_20|bb_upper|bb_middle|bb_lower,32,0.6,16,0,16,0.0,90.82,✅ ok
DQN_1d_short_V7.pt,1d,short,7,macd|supertrend|ema_20,32,0.6,20,0,20,0.0,88.66,✅ ok
DQN_1d_short_V8.pt,1d,short,8,macd|supertrend|rsi_14,32,0.6,37,0,37,0.0,80.04,✅ ok
DQN_1d_short_V9.pt,1d,short,9,macd|supertrend|ema_20|rsi_14,32,0.6,22,0,22,0.0,87.6,✅ ok
DQN_1h_long_V1.pt,1h,long,1,macd|supertrend,32,0.6,208,172,36,82.69,102.35,✅ ok
DQN_1h_long_V10.pt,1h,long,10,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower,32,0.6,282,235,47,83.33,101.2,✅ ok
DQN_1h_long_V11.pt,1h,long,11,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14,32,0.6,319,263,56,82.45,94.64,✅ ok
DQN_1h_long_V12.pt,1h,long,12,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv,32,0.6,196,164,32,83.67,100.13,✅ ok
DQN_1h_long_V13.pt,1h,long,13,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed,32,0.6,291,235,56,80.76,96.93,✅ ok
DQN_1h_long_V14.pt,1h,long,14,macd|supertrend|ema_20|rsi_14|bb_upper|bb_middle|bb_lower|mfi_14|obv|trend_up_valid|trend_up_slope|trend_up_confirmed|trend_down_valid|trend_down_slope|trend_down_confirmed|pivot|r1|s1|r2|s2,32,0.6,4,4,0,100.0,100.4,✅ ok
