model,timeframe,target,variant,entry_index,exit_index,entry_time,exit_time,tp_hits,pnl_pct_raw,pnl_pct_leveraged,stake_used,deposit_after,used_m1
DQN_15m_short_V10.pt,15m,short,10,41023,41024,2021-03-03 13:45:00+00:00,2021-03-03 14:00:00+00:00,0,-0.015,-0.3,0.97,96.75,False
DQN_15m_short_V10.pt,15m,short,10,41990,41991,2021-03-13 15:30:00+00:00,2021-03-13 15:45:00+00:00,0,-0.015,-0.3,0.97,96.46,False
DQN_15m_short_V10.pt,15m,short,10,42409,42410,2021-03-18 00:15:00+00:00,2021-03-18 00:30:00+00:00,0,-0.015,-0.3,0.96,96.17,False
DQN_15m_short_V10.pt,15m,short,10,43521,43522,2021-03-29 14:15:00+00:00,2021-03-29 14:30:00+00:00,0,-0.015,-0.3,0.96,95.88,False
DQN_15m_short_V10.pt,15m,short,10,44652,44653,2021-04-10 09:00:00+00:00,2021-04-10 09:15:00+00:00,0,-0.015,-0.3,0.96,95.59,False
DQN_15m_short_V10.pt,15m,short,10,46174,46175,2021-04-26 05:30:00+00:00,2021-04-26 05:45:00+00:00,0,-0.015,-0.3,0.96,95.31,False
DQN_15m_short_V10.pt,15m,short,10,46613,46614,2021-04-30 19:15:00+00:00,2021-04-30 19:30:00+00:00,0,-0.015,-0.3,0.95,95.02,False
DQN_15m_short_V10.pt,15m,short,10,48487,48488,2021-05-20 07:45:00+00:00,2021-05-20 08:00:00+00:00,0,-0.015,-0.3,0.95,94.74,False
DQN_15m_short_V10.pt,15m,short,10,49451,49452,2021-05-30 08:45:00+00:00,2021-05-30 09:00:00+00:00,0,-0.015,-0.3,0.95,94.45,False
DQN_15m_short_V10.pt,15m,short,10,49839,49840,2021-06-03 09:45:00+00:00,2021-06-03 10:00:00+00:00,0,-0.015,-0.3,0.94,94.17,False
DQN_15m_short_V10.pt,15m,short,10,50414,50415,2021-06-09 09:30:00+00:00,2021-06-09 09:45:00+00:00,0,-0.015,-0.3,0.94,93.89,False
DQN_15m_short_V10.pt,15m,short,10,50853,50854,2021-06-13 23:15:00+00:00,2021-06-13 23:30:00+00:00,0,-0.015,-0.3,0.94,93.6,False
DQN_15m_short_V10.pt,15m,short,10,50924,50925,2021-06-14 17:00:00+00:00,2021-06-14 17:15:00+00:00,0,-0.015,-0.3,0.94,93.32,False
