time,position,entry,exit,pnl,balance,exited
2024-12-18 14:00:00,LONG,104019.93,104018.31,4.04,14207.39,100%
2024-12-18 15:00:00,SHORT,104428.54,104444.0,3.28,14210.67,100%
2024-12-18 16:00:00,LONG,104199.62,104190.07,3.94,14214.61,100%
2024-12-18 17:00:00,SHORT,104656.18,104689.77,2.94,14217.55,100%
2024-12-18 18:00:00,SHORT,104808.99,104860.68,2.96,14220.51,100%
2024-12-18 19:00:00,SHORT,102817.82,101887.2,31.06,14251.57,100%
2024-12-18 20:00:00,LONG,100846.67,101567.25,45.83,14297.4,100%
2024-12-18 21:00:00,LONG,101010.55,101010.55,3.97,14301.37,100%
2024-12-18 22:00:00,LONG,101152.45,101968.0,27.78,14329.16,100%
2024-12-18 23:00:00,LONG,100204.01,100189.31,6.32,14335.48,100%
2024-12-19 00:00:00,LONG,100831.16,101821.8,29.28,14364.76,100%
2024-12-19 01:00:00,LONG,99768.97,100250.01,21.92,14386.68,100%
2024-12-19 02:00:00,LONG,100534.56,102602.28,36.7,14423.38,100%
2024-12-19 03:00:00,LONG,101193.15,102170.25,29.01,14452.39,100%
2024-12-19 04:00:00,LONG,100671.62,100635.99,3.07,14455.47,100%
2024-12-19 06:00:00,LONG,101200.01,102170.25,28.88,14484.35,100%
2024-12-19 07:00:00,LONG,101656.57,101968.0,15.74,14500.09,100%
2024-12-19 08:00:00,LONG,101640.4,101968.0,16.23,14516.32,100%
2024-12-19 09:00:00,LONG,101815.99,101789.31,3.59,14519.9,100%
2024-12-19 10:00:00,SHORT,102409.34,102460.06,2.98,14522.88,100%
2024-12-19 11:00:00,LONG,102449.99,102374.67,2.16,14525.04,100%
2024-12-19 12:00:00,LONG,101988.0,101944.35,3.05,14528.08,100%
2024-12-19 13:00:00,LONG,101952.44,101720.35,-0.47,14527.61,100%
2024-12-19 14:00:00,SHORT,100942.41,100531.97,18.05,14545.66,100%
2024-12-19 15:00:00,LONG,100679.86,101684.36,31.29,14576.95,100%
2024-12-19 16:00:00,SHORT,100716.3,100733.46,3.64,14580.59,100%
2024-12-19 17:00:00,SHORT,98855.86,98832.01,13.61,14594.2,100%
2024-12-19 18:00:00,SHORT,98932.73,98208.2,28.95,14623.15,100%
2024-12-19 19:00:00,LONG,97199.72,98112.78,44.45,14667.6,100%
2024-12-19 20:00:00,LONG,96409.54,96324.52,4.17,14671.78,100%
2024-12-19 21:00:00,LONG,97417.66,97417.66,4.17,14675.95,100%
2024-12-19 22:00:00,SHORT,98391.21,97909.1,22.09,14698.04,100%
2024-12-19 23:00:00,LONG,97461.86,97461.86,5.6,14703.64,100%
2024-12-20 00:00:00,LONG,97248.22,97162.1,2.01,14705.65,100%
2024-12-20 01:00:00,LONG,96319.99,96800.0,23.93,14729.58,100%
2024-12-20 02:00:00,LONG,97632.59,97632.56,3.83,14733.41,100%
2024-12-20 03:00:00,LONG,97106.02,97105.47,3.8,14737.21,100%
2024-12-20 04:00:00,LONG,97304.07,97304.07,3.86,14741.06,100%
2024-12-20 05:00:00,LONG,96734.32,96675.67,3.45,14744.52,100%
2024-12-20 06:00:00,LONG,97281.37,97188.38,3.08,14747.6,100%
2024-12-20 07:00:00,LONG,97832.53,98765.6,30.34,14777.93,100%
2024-12-20 08:00:00,LONG,95473.74,97632.56,69.53,14847.46,100%
2024-12-20 09:00:00,LONG,94811.85,94780.79,4.98,14852.44,100%
2024-12-20 10:00:00,LONG,94359.53,94301.14,2.46,14854.91,100%
2024-12-20 11:00:00,LONG,92723.98,94587.32,51.9,14906.81,100%
2024-12-20 12:00:00,LONG,93941.75,94859.98,33.24,14940.05,100%
2024-12-20 13:00:00,LONG,95204.0,95087.99,1.11,14941.16,100%
2024-12-20 14:00:00,LONG,95627.99,95512.02,1.78,14942.94,100%
2024-12-20 15:00:00,LONG,96991.62,96939.99,2.91,14945.86,100%
2024-12-20 16:00:00,LONG,96727.99,96667.99,3.0,14948.85,100%
2024-12-20 17:00:00,LONG,97206.59,97148.27,2.61,14951.46,100%
2024-12-20 18:00:00,LONG,96993.58,96920.01,2.32,14953.78,100%
2024-12-20 19:00:00,LONG,97116.0,97085.71,3.73,14957.52,100%
2024-12-20 20:00:00,LONG,96451.88,96451.88,4.87,14962.39,100%
2024-12-20 21:00:00,LONG,96623.29,98654.06,40.12,15002.51,100%
2024-12-20 22:00:00,LONG,97463.93,99492.0,40.25,15042.76,100%
2024-12-20 23:00:00,LONG,97805.44,98765.6,31.79,15074.55,100%
2024-12-21 00:00:00,LONG,97525.77,99492.0,39.59,15114.14,100%
2024-12-21 01:00:00,LONG,97357.23,99380.0,39.52,15153.65,100%
2024-12-21 02:00:00,LONG,97396.0,99380.0,38.98,15192.63,100%
2024-12-21 03:00:00,LONG,97487.46,99492.0,40.31,15232.94,100%
2024-12-21 04:00:00,LONG,97588.0,98562.04,32.89,15265.83,100%
2024-12-21 05:00:00,LONG,98691.98,98676.9,3.56,15269.39,100%
2024-12-21 06:00:00,LONG,98726.76,98676.9,2.92,15272.31,100%
2024-12-21 07:00:00,SHORT,99040.0,99049.35,3.81,15276.12,100%
2024-12-21 08:00:00,SHORT,98650.0,96652.0,38.74,15314.86,100%
2024-12-21 09:00:00,SHORT,98565.82,96588.01,39.12,15353.99,100%
2024-12-21 10:00:00,SHORT,98131.22,97200.0,30.73,15384.72,100%
2024-12-21 11:00:00,SHORT,98262.08,97299.61,31.52,15416.24,100%
2024-12-21 12:00:00,SHORT,97131.99,97200.0,2.7,15418.94,100%
2024-12-21 13:00:00,SHORT,97344.54,97362.4,3.82,15422.76,100%
2024-12-21 14:00:00,SHORT,97083.11,97105.25,3.41,15426.17,100%
2024-12-21 15:00:00,SHORT,97527.97,97562.78,3.71,15429.88,100%
2024-12-21 16:00:00,SHORT,97292.0,97390.66,2.44,15432.33,100%
2024-12-21 17:00:00,SHORT,97595.28,97632.3,3.1,15435.43,100%
2024-12-21 18:00:00,SHORT,97400.01,97498.72,1.9,15437.33,100%
2024-12-21 19:00:00,SHORT,97269.03,97390.66,1.72,15439.05,100%
2024-12-21 20:00:00,SHORT,97456.91,96524.01,32.57,15471.62,100%
2024-12-21 21:00:00,SHORT,96892.0,96408.61,19.77,15491.39,100%
2024-12-22 00:00:00,SHORT,97253.01,97285.89,3.3,15494.69,100%
2024-12-22 01:00:00,SHORT,97060.01,96584.0,20.05,15514.74,100%
2024-12-22 02:00:00,SHORT,96719.99,96725.0,4.03,15518.77,100%
2024-12-22 03:00:00,SHORT,96994.37,96524.01,19.4,15538.17,100%
2024-12-22 04:00:00,LONG,96076.01,96484.0,21.86,15560.03,100%
2024-12-22 05:00:00,LONG,96156.19,96104.27,2.69,15562.72,100%
2024-12-22 07:00:00,LONG,96210.24,96206.25,4.42,15567.14,100%
2024-12-22 13:00:00,SHORT,96976.0,96092.5,32.94,15600.08,100%
2024-12-22 14:00:00,LONG,95363.44,96244.27,47.54,15647.62,100%
2024-12-22 15:00:00,LONG,95377.72,95826.41,20.58,15668.2,100%
2024-12-22 16:00:00,LONG,95715.09,95714.51,4.44,15672.64,100%
2024-12-22 17:00:00,LONG,95612.19,95579.99,3.14,15675.79,100%
2024-12-22 18:00:00,SHORT,95955.22,95972.66,4.18,15679.97,100%
2024-12-22 19:00:00,LONG,94836.55,95306.67,26.55,15706.52,100%
2024-12-22 20:00:00,SHORT,95592.49,95160.49,22.06,15728.58,100%
2024-12-22 21:00:00,LONG,95203.11,95164.0,2.97,15731.56,100%
2024-12-22 22:00:00,SHORT,95547.41,95099.61,20.41,15751.97,100%
2024-12-22 23:00:00,LONG,95186.27,95108.0,2.82,15754.79,100%
2024-12-23 00:00:00,LONG,94390.84,94837.17,22.02,15776.81,100%
2024-12-23 01:00:00,LONG,94449.99,94402.98,3.65,15780.46,100%
2024-12-23 02:00:00,LONG,94723.96,95650.4,32.61,15813.07,100%
2024-12-23 03:00:00,SHORT,96025.15,95559.99,30.44,15843.51,100%
2024-12-23 04:00:00,SHORT,95832.03,95398.01,19.42,15862.93,100%
2024-12-23 05:00:00,SHORT,95608.02,95652.84,3.07,15866.0,100%
2024-12-23 06:00:00,SHORT,94824.83,94398.92,20.03,15886.02,100%
2024-12-23 07:00:00,SHORT,95404.01,95430.4,3.47,15889.5,100%
2024-12-23 08:00:00,SHORT,95503.87,95562.56,3.36,15892.85,100%
2024-12-23 09:00:00,SHORT,96013.72,95562.56,19.62,15912.48,100%
2024-12-23 10:00:00,SHORT,96392.39,96402.18,4.33,15916.8,100%
2024-12-23 11:00:00,SHORT,95932.42,95562.56,18.64,15935.44,100%
2024-12-23 12:00:00,SHORT,96305.0,95450.33,32.94,15968.39,100%
2024-12-23 13:00:00,SHORT,94924.34,93013.68,41.15,16009.54,100%
2024-12-23 14:00:00,SHORT,94389.67,94398.92,4.62,16014.16,100%
2024-12-23 15:00:00,LONG,93250.37,93249.52,7.46,16021.61,100%
2024-12-23 16:00:00,LONG,93980.61,94844.01,32.86,16054.47,100%
2024-12-23 17:00:00,LONG,93364.26,93362.64,5.42,16059.9,100%
2024-12-23 18:00:00,LONG,92758.55,93207.05,22.07,16081.96,100%
2024-12-23 19:00:00,LONG,93044.79,93043.99,4.6,16086.57,100%
2024-12-23 20:00:00,LONG,93186.34,95104.24,43.37,16129.94,100%
2024-12-23 21:00:00,LONG,93964.01,94844.01,33.35,16163.29,100%
2024-12-23 22:00:00,SHORT,95191.81,94735.84,27.58,16190.87,100%
2024-12-23 23:00:00,SHORT,94881.47,94415.09,20.81,16211.68,100%
2024-12-24 00:00:00,SHORT,94550.22,94118.98,19.89,16231.56,100%
2024-12-24 01:00:00,LONG,94123.43,94042.94,2.34,16233.91,100%
2024-12-24 02:00:00,LONG,93961.45,93927.98,3.55,16237.45,100%
2024-12-24 03:00:00,LONG,94348.75,96310.99,41.73,16279.19,100%
2024-12-24 04:00:00,LONG,94412.3,96310.99,44.48,16323.67,100%
2024-12-24 05:00:00,LONG,94606.06,96510.81,42.53,16366.19,100%
2024-12-24 06:00:00,LONG,93918.99,93840.01,3.83,16370.03,100%
2024-12-24 09:00:00,LONG,94068.01,96049.83,42.21,16412.24,100%
