time,position,entry,exit,pnl,balance,exited
2024-08-16,LONG,58874.6,59419.36,2.62,1249.67,100%
2024-08-17,LONG,59491.99,59661.03,1.46,1251.13,100%
2024-08-18,LONG,58427.35,59613.53,4.69,1255.82,100%
2024-08-19,LONG,59438.5,60782.87,3.5,1259.32,100%
2024-08-20,LONG,59013.8,60293.97,3.79,1263.11,100%
2024-08-21,LONG,61156.03,61387.46,1.46,1264.57,100%
2024-08-22,LONG,60375.84,60670.02,2.31,1266.88,100%
2024-08-23,LONG,64037.24,64112.84,1.44,1268.32,100%
2024-08-24,SHORT,64157.01,64180.0,0.25,1268.57,100%
2024-08-25,LONG,64220.0,64530.85,1.64,1270.22,100%
2024-08-26,SHORT,62834.0,61532.02,3.34,1273.55,100%
2024-08-27,LONG,59415.0,62887.99,14.64,1288.19,100%
2024-08-28,LONG,59034.9,59003.0,0.28,1288.47,100%
2024-08-29,SHORT,59359.01,59359.99,0.37,1288.84,100%
2024-08-30,LONG,59123.99,59064.99,0.13,1288.97,100%
2024-08-31,SHORT,58973.99,58402.0,2.73,1291.7,100%
2024-09-01,LONG,57301.86,58963.01,7.5,1299.2,100%
2024-09-02,SHORT,59132.13,57400.86,7.82,1307.02,100%
2024-09-03,LONG,57487.73,59127.0,7.38,1314.4,100%
2024-09-04,SHORT,57970.9,56407.85,4.4,1318.8,100%
2024-09-05,SHORT,56180.0,56191.1,0.33,1319.14,100%
2024-09-06,LONG,53962.97,56199.94,10.92,1330.05,100%
2024-09-07,LONG,54160.86,54396.99,1.68,1331.73,100%
2024-09-08,LONG,54869.95,54711.14,-0.24,1331.49,100%
2024-09-09,LONG,57042.0,57304.93,2.17,1333.66,100%
2024-09-10,LONG,57635.99,57591.1,0.21,1333.87,100%
2024-09-11,LONG,57338.0,57322.0,0.32,1334.19,100%
2024-09-12,LONG,58132.32,58097.99,0.25,1334.44,100%
2024-09-13,SHORT,60498.0,58154.0,10.38,1344.83,100%
2024-09-14,LONG,59993.03,60288.0,1.93,1346.76,100%
2024-09-15,LONG,59132.0,60316.01,4.34,1351.09,100%
2024-09-16,LONG,58213.99,58731.62,3.69,1354.79,100%
2024-09-17,LONG,60313.99,60881.72,2.83,1357.61,100%
2024-09-18,LONG,61759.99,62042.44,1.7,1359.32,100%
2024-09-19,LONG,62947.99,62910.01,0.24,1359.56,100%
2024-09-20,LONG,63201.05,63470.0,1.68,1361.23,100%
2024-09-21,LONG,63348.96,63618.0,1.64,1362.87,100%
2024-09-22,LONG,63578.76,63521.17,0.26,1363.13,100%
2024-09-23,LONG,63339.99,64611.9,3.57,1366.7,100%
2024-09-24,LONG,64262.7,64250.89,0.31,1367.01,100%
2024-09-25,LONG,63152.01,64423.73,4.99,1372.0,100%
2024-09-26,LONG,65173.99,65158.01,0.3,1372.3,100%
2024-09-27,SHORT,65769.95,65451.66,1.99,1374.29,100%
2024-09-28,SHORT,65858.0,65859.59,0.37,1374.66,100%
2024-09-29,SHORT,65602.01,64248.0,3.52,1378.18,100%
2024-09-30,SHORT,63327.59,63338.0,0.38,1378.55,100%
2024-10-01,LONG,60805.78,63338.67,11.69,1390.24,100%
2024-10-02,LONG,60649.28,61869.54,3.53,1393.78,100%
2024-10-03,LONG,60752.71,61054.03,1.77,1395.55,100%
2024-10-04,LONG,62086.0,62039.51,0.22,1395.77,100%
2024-10-05,LONG,62058.0,62050.01,0.32,1396.1,100%
2024-10-06,LONG,62819.91,63416.92,2.85,1398.95,100%
2024-10-07,LONG,62224.0,63518.98,3.95,1402.9,100%
2024-10-08,LONG,62160.49,62470.0,1.77,1404.66,100%
2024-10-09,LONG,60636.02,62102.15,6.94,1411.6,100%
2024-10-10,LONG,60326.39,60901.02,2.89,1414.5,100%
2024-10-11,LONG,62540.0,62819.47,1.85,1416.35,100%
2024-10-12,LONG,63206.22,64499.0,3.61,1419.96,100%
2024-10-13,LONG,62870.02,62860.02,0.4,1420.36,100%
2024-10-14,LONG,66083.99,66074.02,0.37,1420.73,100%
2024-10-15,LONG,67074.14,67393.33,1.92,1422.65,100%
2024-10-16,LONG,67620.01,67945.58,1.86,1424.5,100%
2024-10-17,LONG,67421.78,67416.55,0.35,1424.85,100%
2024-10-18,LONG,68428.0,68361.62,0.16,1425.01,100%
2024-10-19,LONG,68378.0,69060.61,2.92,1427.93,100%
2024-10-20,SHORT,69031.99,68720.47,2.04,1429.97,100%
2024-10-21,LONG,67377.5,68990.6,6.87,1436.83,100%
2024-10-22,LONG,67426.0,67389.98,0.27,1437.1,100%
2024-10-23,LONG,66668.65,66991.57,2.3,1439.4,100%
2024-10-24,LONG,68198.28,68194.88,0.36,1439.75,100%
2024-10-25,LONG,66698.33,68282.09,6.72,1446.48,100%
2024-10-26,LONG,67092.76,67760.01,2.92,1449.39,100%
2024-10-27,LONG,68021.7,68700.01,2.91,1452.3,100%
2024-10-28,LONG,69962.21,71468.0,3.91,1456.21,100%
2024-10-29,SHORT,72736.42,69889.02,11.26,1467.47,100%
2024-10-30,SHORT,72344.74,72012.11,1.79,1469.26,100%
2024-10-31,LONG,70292.01,72370.0,8.65,1477.92,100%
2024-11-01,LONG,69496.01,69735.82,2.25,1480.17,100%
2024-11-02,LONG,69374.74,69365.99,0.34,1480.51,100%
2024-11-03,LONG,68775.99,68687.36,0.36,1480.87,100%
2024-11-04,LONG,67850.01,69220.02,4.5,1485.36,100%
2024-11-05,LONG,69372.01,69659.99,1.87,1487.23,100%
2024-11-06,LONG,75571.99,75555.22,0.35,1487.58,100%
2024-11-07,LONG,75857.89,75812.0,0.25,1487.83,100%
2024-11-08,LONG,76509.78,76493.85,0.34,1488.17,100%
2024-11-09,LONG,76677.46,77056.0,1.96,1490.14,100%
2024-11-10,LONG,80370.01,80301.22,0.23,1490.36,100%
2024-11-11,LONG,88647.99,88644.01,0.43,1490.8,100%
2024-11-12,LONG,87952.01,87791.99,0.3,1491.1,100%
2024-11-13,LONG,90375.2,90248.01,0.18,1491.28,100%
2024-11-14,LONG,87325.59,90176.47,10.09,1501.37,100%
2024-11-15,LONG,91032.07,90970.0,0.38,1501.75,100%
2024-11-16,LONG,90586.92,91018.74,1.95,1503.7,100%
2024-11-17,LONG,89855.99,90278.98,2.11,1505.82,100%
2024-11-18,LONG,90464.08,90428.24,0.3,1506.12,100%
2024-11-19,LONG,92310.79,92756.01,1.97,1508.08,100%
2024-11-20,LONG,94286.56,94240.87,0.27,1508.36,100%
2024-11-21,SHORT,98317.12,94240.0,12.51,1520.87,100%
2024-11-22,SHORT,98892.0,98438.37,1.88,1522.75,100%
2024-11-23,SHORT,97672.4,97688.0,0.35,1523.1,100%
2024-11-24,SHORT,97900.04,97456.52,1.9,1525.0,100%
2024-11-25,LONG,93010.01,97680.0,15.66,1540.66,100%
2024-11-26,LONG,91965.16,93826.44,4.39,1545.05,100%
2024-11-27,LONG,95863.11,96335.96,1.95,1547.0,100%
2024-11-28,LONG,95643.98,95559.77,0.23,1547.23,100%
2024-11-29,SHORT,97460.0,95490.58,5.82,1553.05,100%
2024-11-30,LONG,96407.99,96384.0,0.76,1553.81,100%
2024-12-01,LONG,97185.18,97170.51,0.39,1554.2,100%
2024-12-02,LONG,95840.62,97844.76,5.06,1559.27,100%
2024-12-03,LONG,95849.69,95739.99,0.14,1559.41,100%
2024-12-04,LONG,98587.32,100760.53,4.49,1563.9,100%
2024-12-05,LONG,96945.63,98913.85,5.53,1569.42,100%
2024-12-06,LONG,99740.84,101740.93,4.31,1573.73,100%
2024-12-07,LONG,99831.99,99820.01,0.37,1574.1,100%
2024-12-08,SHORT,101109.59,99023.44,4.81,1578.91,100%
2024-12-09,LONG,97276.47,100899.98,12.19,1591.1,100%
2024-12-10,LONG,96593.0,97507.22,3.35,1594.45,100%
2024-12-11,LONG,101125.0,101109.38,0.37,1594.82,100%
2024-12-12,LONG,100004.29,100489.04,2.63,1597.45,100%
2024-12-13,LONG,101424.25,101917.44,2.03,1599.48,100%
2024-12-14,LONG,101420.0,101917.44,2.05,1601.53,100%
2024-12-15,LONG,104463.99,104327.14,0.15,1601.68,100%
2024-12-16,LONG,106058.66,106571.99,2.0,1603.69,100%
2024-12-17,SHORT,106133.74,106153.63,0.36,1604.05,100%
2024-12-18,LONG,100204.01,106098.83,19.03,1623.08,100%
2024-12-19,LONG,97461.86,100652.01,10.07,1633.15,100%
2024-12-20,LONG,97805.44,98765.6,3.45,1636.6,100%
2024-12-21,LONG,97291.99,97240.0,0.29,1636.89,100%
2024-12-22,LONG,95186.27,97175.01,7.0,1643.89,100%
2024-12-23,LONG,94881.47,95686.56,3.39,1647.28,100%
2024-12-24,SHORT,98663.58,94732.63,13.02,1660.3,100%
2024-12-25,LONG,99429.6,99400.79,0.37,1660.68,100%
2024-12-26,LONG,95791.6,99748.97,13.21,1673.88,100%
2024-12-27,LONG,94299.03,96220.36,5.71,1679.6,100%
2024-12-28,SHORT,95300.0,94844.43,2.56,1682.16,100%
2024-12-29,LONG,93738.2,94671.13,4.93,1687.09,100%
2024-12-30,LONG,92792.05,93663.73,3.79,1690.88,100%
2024-12-31,LONG,93576.0,93980.0,2.07,1692.95,100%
2025-01-01,LONG,94591.79,94583.62,0.47,1693.42,100%
2025-01-02,LONG,96984.79,96946.85,0.38,1693.8,100%
2025-01-03,LONG,98174.18,98166.67,0.41,1694.2,100%
2025-01-04,LONG,98220.5,98197.37,0.37,1694.57,100%
2025-01-05,LONG,98363.61,99300.09,3.47,1698.04,100%
2025-01-06,SHORT,102235.6,98461.67,12.42,1710.47,100%
2025-01-07,SHORT,96954.61,96976.97,0.38,1710.85,100%
2025-01-08,SHORT,95060.61,95079.12,0.41,1711.25,100%
2025-01-09,LONG,92552.49,95004.64,9.1,1720.36,100%
2025-01-10,SHORT,94726.11,92588.11,7.76,1728.11,100%
2025-01-11,LONG,94599.99,94591.27,0.51,1728.62,100%
2025-01-12,LONG,94545.06,94510.75,0.49,1729.12,100%
2025-01-13,LONG,94536.1,94985.03,2.21,1731.33,100%
2025-01-14,LONG,96560.86,96530.39,0.51,1731.84,100%
2025-01-15,LONG,100497.35,101396.18,3.57,1735.41,100%
2025-01-16,LONG,99987.3,99783.37,-0.04,1735.37,100%
2025-01-17,LONG,104077.48,104594.28,2.22,1737.59,100%
2025-01-18,LONG,104556.23,104517.9,0.36,1737.94,100%
2025-01-19,LONG,101331.57,104380.02,10.78,1748.73,100%
2025-01-20,LONG,102260.01,102245.21,0.41,1749.13,100%
2025-01-21,SHORT,106143.82,101908.86,12.96,1762.09,100%
2025-01-22,LONG,103706.66,106088.55,8.18,1770.27,100%
2025-01-23,LONG,103910.34,104707.99,3.73,1774.0,100%
2025-01-24,SHORT,104870.5,102750.01,4.9,1778.9,100%
2025-01-25,SHORT,104746.85,104751.73,0.43,1779.34,100%
2025-01-26,LONG,102620.0,104831.98,7.65,1786.99,100%
2025-01-27,LONG,102082.83,102549.99,2.33,1789.33,100%
2025-01-28,LONG,101335.52,102323.31,3.8,1793.12,100%
2025-01-29,SHORT,103733.24,101358.39,8.1,1801.23,100%
2025-01-30,SHORT,104722.94,104311.5,2.42,1803.65,100%
2025-01-31,SHORT,102429.56,102436.0,0.58,1804.23,100%
2025-02-01,LONG,100635.65,102649.35,6.36,1810.59,100%
2025-02-02,LONG,97700.59,100552.79,10.62,1821.21,100%
2025-02-03,SHORT,101328.52,97491.24,13.44,1834.65,100%
2025-02-04,LONG,97763.13,101464.78,13.91,1848.56,100%
2025-02-05,LONG,96612.43,98594.4,5.73,1854.29,100%
2025-02-06,LONG,96554.35,98520.0,4.82,1859.11,100%
2025-02-07,LONG,96506.8,96791.77,2.06,1861.18,100%
2025-02-08,LONG,96444.74,96432.4,0.47,1861.65,100%
2025-02-09,LONG,96462.75,96432.4,0.4,1862.05,100%
2025-02-10,SHORT,97430.82,95263.99,5.33,1867.39,100%
2025-02-11,LONG,95778.2,97751.48,6.83,1874.21,100%
2025-02-12,SHORT,97869.99,95880.48,7.99,1882.2,100%
2025-02-13,LONG,96608.14,97572.57,4.62,1886.82,100%
2025-02-14,SHORT,97500.48,97082.99,2.58,1889.4,100%
