time,position,entry,exit,pnl,balance,exited
2024-11-20 12:30:00,LONG,93504.0,93902.83,449.89,354225.07,100%
2024-11-20 12:45:00,LONG,93531.95,93902.83,429.16,354654.22,100%
2024-11-20 13:00:00,LONG,93912.01,93902.83,83.59,354737.82,100%
2024-11-20 13:15:00,LONG,94269.55,94240.87,76.84,354814.66,100%
2024-11-20 13:30:00,LONG,94213.72,94172.0,69.37,354884.03,100%
2024-11-20 13:45:00,SHORT,94382.88,94404.02,78.33,354962.36,100%
2024-11-20 14:00:00,LONG,94341.29,94293.39,63.01,355025.36,100%
2024-11-20 14:15:00,SHORT,94451.44,94496.0,77.98,355103.35,100%
2024-11-20 14:30:00,LONG,94213.7,94172.0,69.44,355172.79,100%
2024-11-20 14:45:00,SHORT,94627.41,94669.56,66.33,355239.11,100%
2024-11-20 15:00:00,LONG,94312.03,94240.87,48.86,355287.97,100%
2024-11-20 15:15:00,SHORT,94544.81,94094.68,445.79,355733.77,100%
2024-11-20 15:30:00,SHORT,94699.13,94228.0,449.37,356183.14,100%
2024-11-20 15:45:00,SHORT,94739.97,94284.04,447.19,356630.33,100%
2024-11-20 16:00:00,LONG,94316.29,94293.39,79.6,356709.93,100%
2024-11-20 16:15:00,LONG,93563.59,93563.59,124.36,356834.29,100%
2024-11-20 16:30:00,LONG,93632.0,93600.0,95.28,356929.57,100%
2024-11-20 16:45:00,LONG,94048.0,94000.02,67.5,356997.06,100%
2024-11-20 17:00:00,LONG,93969.4,93963.24,92.83,357089.89,100%
2024-11-20 17:15:00,LONG,94043.06,94000.02,71.28,357161.18,100%
2024-11-20 17:30:00,LONG,94164.01,94148.0,88.65,357249.83,100%
2024-11-20 17:45:00,LONG,93916.34,93896.92,95.47,357345.3,100%
2024-11-20 18:00:00,LONG,94184.38,94148.0,73.22,357418.52,100%
2024-11-20 18:15:00,LONG,93929.47,93896.92,85.51,357504.03,100%
2024-11-20 18:30:00,LONG,93391.79,93373.02,130.13,357634.17,100%
2024-11-20 18:45:00,LONG,93684.0,94148.0,458.1,358092.27,100%
2024-11-20 19:00:00,LONG,93580.41,94000.02,447.97,358540.24,100%
2024-11-20 19:15:00,LONG,93383.99,93812.0,445.63,358985.88,100%
2024-11-20 19:30:00,LONG,93799.97,94236.01,451.64,359437.52,100%
2024-11-20 19:45:00,LONG,94000.0,93976.62,77.71,359515.22,100%
2024-11-20 20:00:00,LONG,93926.23,93896.92,88.5,359603.72,100%
2024-11-20 20:15:00,LONG,94191.99,94148.0,67.87,359671.59,100%
2024-11-20 20:30:00,SHORT,94470.76,94487.99,84.23,359755.81,100%
2024-11-20 20:45:00,LONG,94271.99,94236.01,81.3,359837.11,100%
2024-11-20 21:00:00,LONG,94064.0,94040.01,81.46,359918.57,100%
2024-11-20 21:15:00,LONG,94152.0,94148.0,98.53,360017.1,100%
2024-11-20 21:30:00,LONG,94499.98,96476.0,1042.47,361059.57,100%
2024-11-20 22:15:00,LONG,94165.76,94148.0,88.28,361147.84,100%
2024-11-20 22:30:00,LONG,94089.63,94040.01,62.06,361209.9,100%
2024-11-20 22:45:00,LONG,94160.55,94148.0,92.31,361302.21,100%
2024-11-20 23:00:00,LONG,94059.11,94040.01,85.55,361387.76,100%
2024-11-20 23:15:00,LONG,93959.87,94420.02,452.8,361840.57,100%
2024-11-20 23:30:00,LONG,94100.01,94040.01,56.07,361896.64,100%
2024-11-20 23:45:00,LONG,94286.56,94236.01,70.59,361967.22,100%
2024-11-21 00:15:00,LONG,94819.92,96760.0,957.93,362925.15,100%
2024-11-21 00:30:00,LONG,94864.01,96776.02,931.43,363856.58,100%
2024-11-21 00:45:00,LONG,94709.61,96760.0,1008.82,364865.39,100%
2024-11-21 01:15:00,LONG,94900.0,96828.01,983.97,365849.37,100%
2024-11-21 01:30:00,LONG,94823.14,96760.0,965.68,366815.05,100%
2024-11-21 02:00:00,LONG,94659.94,96554.5,951.6,367766.65,100%
2024-11-21 02:15:00,LONG,94191.99,94148.0,67.94,367834.59,100%
2024-11-21 02:30:00,LONG,94116.0,96102.99,1010.03,368844.62,100%
2024-11-21 02:45:00,LONG,94404.13,96368.05,1000.47,369845.09,100%
2024-11-21 03:00:00,LONG,94884.86,96794.54,990.81,370835.9,100%
2024-11-21 03:15:00,LONG,95692.0,97700.99,1028.9,371864.8,100%
2024-11-21 03:30:00,LONG,95598.51,97511.99,977.21,372842.01,100%
2024-11-21 03:45:00,LONG,95798.12,96264.01,479.41,373321.42,100%
2024-11-21 04:00:00,LONG,96940.8,96900.0,86.42,373407.83,100%
2024-11-21 04:15:00,LONG,96456.51,96900.0,529.38,373937.21,100%
2024-11-21 04:30:00,LONG,96700.01,97023.99,424.96,374362.17,100%
2024-11-21 04:45:00,LONG,97554.22,97522.73,104.21,374466.39,100%
2024-11-21 05:00:00,LONG,97400.94,97317.93,63.76,374530.15,100%
2024-11-21 05:15:00,SHORT,97656.92,97692.3,101.02,374631.17,100%
2024-11-21 05:30:00,LONG,97551.99,97522.73,106.0,374737.17,100%
2024-11-21 05:45:00,LONG,97328.0,97811.99,485.87,375223.04,100%
2024-11-21 06:00:00,LONG,97168.02,97650.01,485.03,375708.07,100%
2024-11-21 06:15:00,LONG,97100.52,97572.44,491.47,376199.54,100%
