family,tf,variant,tf_data_exists,m1_exists,long_model,short_model,long_ext,short_ext,long_spec,short_spec,long_spec_feats,short_spec_feats,long_trades_rows,short_trades_rows,long_issues,short_issues,issues_overall,hint
CNN,1h,V6,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V6.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V6.pt,.pt,.pt,True,True,5,5,2196,6378,ok,ok,ok,ok
CNN,1h,V7,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V7.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V7.pt,.pt,.pt,True,True,3,3,971,8020,ok,ok,ok,ok
CNN,1h,V8,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V8.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V8.pt,.pt,.pt,True,True,3,3,3360,6695,ok,ok,ok,ok
CNN,1h,V9,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V9.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V9.pt,.pt,.pt,True,True,4,4,5375,2907,ok,ok,ok,ok
CNN,1h,V10,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V10.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V10.pt,.pt,.pt,True,True,7,7,7655,611,ok,ok,ok,ok
CNN,1h,V11,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V11.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V11.pt,.pt,.pt,True,True,8,8,6116,2588,ok,ok,ok,ok
CNN,1h,V12,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V12.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V12.pt,.pt,.pt,True,True,9,9,6120,2311,ok,ok,ok,ok
CNN,1h,V13,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V13.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V13.pt,.pt,.pt,True,True,23,23,7855,0,ok,no_trades_csv_or_empty,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,1h,V14,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V14.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V14.pt,.pt,.pt,True,True,28,28,0,8020,no_trades_csv_or_empty,ok,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
CNN,1h,V15,True,True,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_long_V15.pt,D:\Project\MeowBot\models\BTCUSDT\CNN\CNN_1h_short_V15.pt,.pt,.pt,True,True,36,36,0,8020,no_trades_csv_or_empty,ok,no_trades_csv_or_empty,запустити бектест або перевірити умови відкриття/сигнали
